City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Butaritari,91,KI,1556543552,82,3.07,172.79,82.77,15.5
1,Ponta do Sol,84,BR,1556543552,91,-20.63,-46.0,67.83,3.53
2,Isla Mujeres,20,MX,1556542986,83,21.23,-86.73,82.0,9.17
3,Mar del Plata,92,AR,1556543552,40,-46.43,-67.52,44.07,30.22
4,Horadiz,0,AZ,1556539200,28,39.45,47.33,82.4,6.93
5,Nikolskoye,0,RU,1556543473,29,59.7,30.79,48.2,8.95
6,Hobart,0,AU,1556543239,76,-42.88,147.33,53.6,4.7
7,Barrow,77,AR,1556543553,43,-38.31,-60.23,58.47,13.38
8,Port Pirie,0,AU,1556539200,38,-33.18,138.01,59.0,6.93
9,Albany,1,US,1556543369,48,42.65,-73.75,46.99,4.7
10,Punta Arenas,40,CL,1556542991,66,-53.16,-70.91,37.4,17.22
11,Ancud,1,CL,1556539200,93,-41.87,-73.83,39.2,4.7
12,Hermanus,12,ZA,1556542889,89,-34.42,19.24,73.0,1.99
13,Geraldton,75,CA,1556539200,79,49.72,-86.95,23.0,5.82
14,Puerto Ayora,20,EC,1556542872,94,-0.74,-90.35,77.0,5.82
15,Ibra,0,OM,1556543554,12,22.69,58.55,95.01,16.11
16,Saint-Doulchard,75,FR,1556543464,58,47.1,2.37,60.8,6.93
17,Rongcheng,0,CN,1556543437,67,37.16,122.42,50.0,10.33
18,Cape Town,0,ZA,1556543552,68,-33.93,18.42,73.0,12.75
19,Port-Cartier,75,CA,1556543302,54,50.03,-66.88,30.99,20.8
20,Balabac,100,PH,1556543554,76,7.99,117.06,84.21,4.07
21,Fairbanks,1,US,1556543150,55,64.84,-147.72,37.99,3.44
22,Aripuana,91,BR,1556543413,82,-9.17,-60.63,78.63,0.31
23,Nelson Bay,4,AU,1556543429,87,-32.72,152.14,68.0,10.18
24,Avarua,100,CK,1556541000,100,-21.21,-159.78,73.4,20.8
25,Torbay,40,CA,1556543315,57,47.66,-52.73,48.2,14.99
26,Cidreira,43,BR,1556543555,79,-30.17,-50.22,67.47,7.02
27,Guerrero Negro,96,MX,1556543555,91,27.97,-114.04,60.45,7.23
28,Severo-Kurilsk,49,RU,1556543555,79,50.68,156.12,35.61,26.66
29,Atuona,75,PF,1556543555,75,-9.8,-139.03,83.13,17.38
30,Kahului,40,US,1556543408,77,20.89,-156.47,69.8,5.82
31,Inhambane,40,MZ,1556539200,61,-23.87,35.38,82.4,12.75
32,Mount Gambier,100,AU,1556539200,87,-37.83,140.78,48.2,6.93
33,Mnogovershinnyy,53,RU,1556543556,70,53.94,139.92,39.93,2.28
34,Saint-Francois,90,FR,1556542903,62,46.42,3.91,51.8,5.82
35,San Jeronimo,75,PE,1556539200,52,-13.65,-73.37,41.0,5.23
36,Luderitz,0,NA,1556539200,34,-26.65,15.16,80.6,13.87
37,Hobyo,6,SO,1556543557,51,5.35,48.53,90.33,12.82
38,Mackay,90,CA,1556540940,100,53.65,-115.58,23.0,4.7
39,Bethel,1,US,1556538960,80,60.79,-161.76,33.8,8.05
40,Rikitea,55,PF,1556543558,72,-23.12,-134.97,72.15,24.05
41,Srednekolymsk,0,RU,1556543558,84,67.46,153.71,20.31,9.44
42,Olavarria,59,AR,1556543558,53,-36.89,-60.32,57.57,8.9
43,Jamestown,0,AU,1556543558,38,-33.21,138.6,61.71,7.81
44,Airai,83,TL,1556543558,78,-8.93,125.41,76.83,7.47
45,Padang,20,ID,1556539200,88,-0.92,100.36,82.4,1.12
46,Bluff,99,AU,1556543559,70,-23.58,149.07,68.37,12.88
47,Mayya,20,RU,1556541000,67,61.74,130.28,32.0,6.71
48,Kangaatsiaq,2,GL,1556543559,65,68.31,-53.46,34.53,12.3
49,Ushuaia,75,AR,1556539200,93,-54.81,-68.31,41.0,28.86
50,Henties Bay,10,NA,1556542933,88,-22.12,14.28,62.01,4.0
51,Abha,40,SA,1556539200,29,18.22,42.5,82.4,12.75
52,Izhma,99,RU,1556543559,68,65.01,53.91,30.21,6.31
53,Sauda,0,NO,1556543293,55,59.65,6.35,66.99,10.29
